Index,Line_breaks,Indents,Bolded,Italicized,Underlined,"DR/CR, Entered Accounts",Calculated_Accounts,Inherited_Accounts,账本名称,Account_name,Formula,_{t1},_{t0},Commentary
SFP,0,0,1,0,1,-,-,-,财务状况表,Statement of Financial Position,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SFP_A,2,0,1,0,0,0,1,0,资产,Assets,,,,
,,,,,,,,,,,,,,
SFP_A_CCE,1,1,0,0,0,0,1,0,现金及现金等价物,Cash and cash equivalents,,,,"In most situations, these accounts will be derived from the SCF, which"
SFP_A_CCE_CAD,0,2,0,0,0,1,1,0,?CAD,?CAD,SCF_OA_IRC_CAD_{t1} + SCF_OA_DRC_CAD_{t1} + SCF_OA_IPC_CAD_{t1} + SCF_OA_DPSSC_CAD_{t1} + SCF_OA_PSI_CAD_{t1} + SCF_OA_PPI_CAD_{t1} + SCF_OA_OEPCC_CAD_{t1} + SCF_FA_SR_CAD_{t1} + SCF_FA_RP_CAD_{t1} + SCF_FA_DPTS_CAD_{t1},,,See specific cash accounts in SCF
SFP_A_CCE_CNY,0,2,0,0,0,1,1,0,?CNY,?CNY,SCF_OA_IRC_CNY_{t1} + SCF_OA_DRC_CNY_{t1} + SCF_OA_IPC_CNY_{t1} + SCF_OA_DPSSC_CNY_{t1} + SCF_OA_PSI_CNY_{t1} + SCF_OA_PPI_CNY_{t1} + SCF_OA_OEPCC_CNY_{t1} + SCF_FA_SR_CNY_{t1} + SCF_FA_RP_CNY_{t1} + SCF_FA_DPTS_CNY_{t1},,,See specific cash accounts in SCF
SFP_A_CCE_HKD,0,2,0,0,0,1,1,0,?HKD,?HKD,SCF_OA_IRC_HKD_{t1} + SCF_OA_DRC_HKD_{t1} + SCF_OA_IPC_HKD_{t1} + SCF_OA_DPSSC_HKD_{t1} + SCF_OA_PSI_HKD_{t1} + SCF_OA_PPI_HKD_{t1} + SCF_OA_OEPCC_HKD_{t1} + SCF_FA_SR_HKD_{t1} + SCF_FA_RP_HKD_{t1} + SCF_FA_DPTS_HKD_{t1},,,See specific cash accounts in SCF
SFP_A_CCE_USD,0,2,0,0,0,1,1,0,?USD,?USD,SCF_OA_IRC_USD_{t1} + SCF_OA_DRC_USD_{t1} + SCF_OA_IPC_USD_{t1} + SCF_OA_DPSSC_USD_{t1} + SCF_OA_PSI_USD_{t1} + SCF_OA_PPI_USD_{t1} + SCF_OA_OEPCC_USD_{t1} + SCF_FA_SR_USD_{t1} + SCF_FA_RP_USD_{t1} + SCF_FA_DPTS_USD_{t1},,,See specific cash accounts in SCF
